"country","total_plastic_kg","year"
"Argentina",2668,2019
"Argentina",1838,2019
"Argentina",257,2019
"Argentina",43,2019
"Argentina",38,2019
"Argentina",29,2019
"Argentina",27,2019
"Argentina",26,2019
"Argentina",20,2019
"Argentina",18,2019
"Argentina",17,2019
"Argentina",15,2019
"Argentina",14,2019
"Argentina",13,2019
"Argentina",11,2019
"Argentina",9,2019
"Argentina",8,2019
"Argentina",7,2019
"Argentina",6,2019
"Argentina",5,2019
"Argentina",4,2019
"Argentina",3,2019
"Argentina",2,2019
"Argentina",1,2019
"Australia",3,2019
"Bangladesh",16,2019
"Benin",4988,2019
"Bhutan",3500,2019
"Brazil",4734,2019
"Brazil",2112,2019
"Brazil",1745,2019
"Brazil",380,2019
"Brazil",42,2019
"Brazil",36,2019
"Brazil",33,2019
"Brazil",30,2019
"Brazil",21,2019
"Brazil",19,2019
"Brazil",14,2019
"Brazil",12,2019
"Brazil",11,2019
"Brazil",9,2019
"Brazil",8,2019
"Brazil",6,2019
"Brazil",5,2019
"Brazil",4,2019
"Brazil",3,2019
"Brazil",2,2019
"Brazil",1,2019
"Bulgaria",8,2019
"Burkina Faso",5818,2019
"Burkina Faso",2996,2019
"Burkina Faso",600,2019
"Burkina Faso",450,2019
"Burkina Faso",331,2019
"Burkina Faso",251,2019
"Burkina Faso",210,2019
"Burkina Faso",200,2019
"Burkina Faso",132,2019
"Burkina Faso",100,2019
"Burkina Faso",90,2019
"Burkina Faso",80,2019
"Burkina Faso",70,2019
"Burkina Faso",57,2019
"Burkina Faso",50,2019
"Burkina Faso",33,2019
"Burkina Faso",32,2019
"Burkina Faso",25,2019
"Burkina Faso",21,2019
"Burkina Faso",15,2019
"Burkina Faso",6,2019
"Burkina Faso",5,2019
"Burkina Faso",4,2019
"Burkina Faso",1,2019
"Cameroon",8595,2019
"Cameroon",891,2019
"Cameroon",621,2019
"Cameroon",470,2019
"Cameroon",453,2019
"Cameroon",365,2019
"Cameroon",342,2019
"Cameroon",255,2019
"Cameroon",225,2019
"Cameroon",208,2019
"Cameroon",161,2019
"Cameroon",151,2019
"Cameroon",136,2019
"Cameroon",132,2019
"Cameroon",130,2019
"Cameroon",126,2019
"Cameroon",119,2019
"Cameroon",113,2019
"Cameroon",110,2019
"Cameroon",105,2019
"Cameroon",101,2019
"Cameroon",98,2019
"Cameroon",97,2019
"Cameroon",94,2019
"Cameroon",91,2019
"Cameroon",86,2019
"Cameroon",84,2019
"Cameroon",82,2019
"Cameroon",74,2019
"Cameroon",73,2019
"Cameroon",72,2019
"Cameroon",71,2019
"Cameroon",69,2019
"Cameroon",67,2019
"Cameroon",60,2019
"Cameroon",58,2019
"Cameroon",57,2019
"Cameroon",56,2019
"Cameroon",55,2019
"Cameroon",52,2019
"Cameroon",47,2019
"Cameroon",42,2019
"Cameroon",41,2019
"Cameroon",38,2019
"Cameroon",37,2019
"Cameroon",34,2019
"Cameroon",33,2019
"Cameroon",32,2019
"Cameroon",27,2019
"Cameroon",26,2019
"Cameroon",25,2019
"Cameroon",24,2019
"Cameroon",23,2019
"Cameroon",22,2019
"Cameroon",21,2019
"Cameroon",20,2019
"Cameroon",19,2019
"Cameroon",18,2019
"Cameroon",17,2019
"Cameroon",16,2019
"Cameroon",15,2019
"Cameroon",14,2019
"Cameroon",13,2019
"Cameroon",12,2019
"Cameroon",11,2019
"Cameroon",10,2019
"Cameroon",9,2019
"Cameroon",8,2019
"Cameroon",7,2019
"Cameroon",6,2019
"Cameroon",5,2019
"Cameroon",4,2019
"Cameroon",3,2019
"Cameroon",2,2019
"Cameroon",1,2019
"Canada",1,2019
"China",3459,2019
"China",392,2019
"China",243,2019
"China",202,2019
"China",181,2019
"China",103,2019
"China",97,2019
"China",96,2019
"China",76,2019
"China",72,2019
"China",69,2019
"China",65,2019
"China",61,2019
"China",60,2019
"China",51,2019
"China",49,2019
"China",43,2019
"China",41,2019
"China",40,2019
"China",38,2019
"China",36,2019
"China",32,2019
"China",29,2019
"China",27,2019
"China",24,2019
"China",23,2019
"China",22,2019
"China",21,2019
"China",20,2019
"China",18,2019
"China",17,2019
"China",15,2019
"China",14,2019
"China",13,2019
"China",12,2019
"China",11,2019
"China",10,2019
"China",9,2019
"China",8,2019
"China",7,2019
"China",6,2019
"China",5,2019
"China",4,2019
"China",3,2019
"China",2,2019
"China",1,2019
"Colombia",856,2019
"C̫te d'Ivoire",53,2019
"Cyprus",24,2019
"Ecuador",12715,2019
"Ecuador",11109,2019
"Ecuador",275,2019
"Ecuador",155,2019
"Ecuador",144,2019
"Ecuador",143,2019
"Ecuador",118,2019
"Ecuador",116,2019
"Ecuador",77,2019
"Ecuador",59,2019
"Ecuador",57,2019
"Ecuador",49,2019
"Ecuador",48,2019
"Ecuador",44,2019
"Ecuador",36,2019
"Ecuador",30,2019
"Ecuador",29,2019
"Ecuador",22,2019
"Ecuador",18,2019
"Ecuador",17,2019
"Ecuador",16,2019
"Ecuador",14,2019
"Ecuador",13,2019
"Ecuador",10,2019
"Ecuador",9,2019
"Ecuador",8,2019
"Ecuador",5,2019
"Ecuador",4,2019
"Ecuador",3,2019
"Ecuador",2,2019
"Ecuador",1,2019
"France",15,2019
"Germany",281,2019
"Germany",280,2019
"Germany",1,2019
"Ghana",578,2019
"India",2066,2019
"India",515,2019
"India",218,2019
"India",120,2019
"India",110,2019
"India",96,2019
"India",94,2019
"India",75,2019
"India",67,2019
"India",62,2019
"India",48,2019
"India",45,2019
"India",42,2019
"India",40,2019
"India",38,2019
"India",32,2019
"India",29,2019
"India",26,2019
"India",24,2019
"India",23,2019
"India",19,2019
"India",18,2019
"India",15,2019
"India",14,2019
"India",11,2019
"India",10,2019
"India",9,2019
"India",8,2019
"India",7,2019
"India",6,2019
"India",5,2019
"India",4,2019
"India",3,2019
"India",2,2019
"India",1,2019
"Indonesia",13309,2019
"Indonesia",6298,2019
"Indonesia",654,2019
"Indonesia",563,2019
"Indonesia",488,2019
"Indonesia",405,2019
"Indonesia",391,2019
"Indonesia",330,2019
"Indonesia",201,2019
"Indonesia",196,2019
"Indonesia",144,2019
"Indonesia",138,2019
"Indonesia",125,2019
"Indonesia",121,2019
"Indonesia",107,2019
"Indonesia",81,2019
"Indonesia",74,2019
"Indonesia",71,2019
"Indonesia",70,2019
"Indonesia",66,2019
"Indonesia",58,2019
"Indonesia",52,2019
"Indonesia",51,2019
"Indonesia",50,2019
"Indonesia",48,2019
"Indonesia",47,2019
"Indonesia",45,2019
"Indonesia",42,2019
"Indonesia",41,2019
"Indonesia",40,2019
"Indonesia",38,2019
"Indonesia",35,2019
"Indonesia",33,2019
"Indonesia",31,2019
"Indonesia",29,2019
"Indonesia",27,2019
"Indonesia",26,2019
"Indonesia",25,2019
"Indonesia",22,2019
"Indonesia",21,2019
"Indonesia",20,2019
"Indonesia",19,2019
"Indonesia",18,2019
"Indonesia",17,2019
"Indonesia",16,2019
"Indonesia",15,2019
"Indonesia",14,2019
"Indonesia",13,2019
"Indonesia",12,2019
"Indonesia",11,2019
"Indonesia",10,2019
"Indonesia",9,2019
"Indonesia",8,2019
"Indonesia",7,2019
"Indonesia",6,2019
"Indonesia",5,2019
"Indonesia",4,2019
"Indonesia",3,2019
"Indonesia",2,2019
"Indonesia",1,2019
"Ireland",1,2019
"Italy",690,2019
"Italy",673,2019
"Italy",5,2019
"Italy",4,2019
"Italy",3,2019
"Italy",2,2019
"Italy",1,2019
"Japan",84,2019
"Japan",36,2019
"Japan",15,2019
"Japan",4,2019
"Japan",3,2019
"Japan",2,2019
"Japan",1,2019
"Kenya",9494,2019
"Kenya",1948,2019
"Kenya",680,2019
"Kenya",590,2019
"Kenya",583,2019
"Kenya",568,2019
"Kenya",560,2019
"Kenya",450,2019
"Kenya",302,2019
"Kenya",296,2019
"Kenya",283,2019
"Kenya",274,2019
"Kenya",246,2019
"Kenya",234,2019
"Kenya",230,2019
"Kenya",216,2019
"Kenya",210,2019
"Kenya",160,2019
"Kenya",149,2019
"Kenya",142,2019
"Kenya",134,2019
"Kenya",120,2019
"Kenya",112,2019
"Kenya",92,2019
"Kenya",85,2019
"Kenya",75,2019
"Kenya",65,2019
"Kenya",56,2019
"Kenya",45,2019
"Kenya",30,2019
"Kenya",27,2019
"Kenya",23,2019
"Kenya",22,2019
"Kenya",20,2019
"Kenya",19,2019
"Kenya",18,2019
"Kenya",16,2019
"Kenya",15,2019
"Kenya",14,2019
"Kenya",12,2019
"Kenya",11,2019
"Kenya",10,2019
"Kenya",9,2019
"Kenya",8,2019
"Kenya",7,2019
"Kenya",6,2019
"Kenya",5,2019
"Kenya",4,2019
"Kenya",3,2019
"Kenya",2,2019
"Kenya",1,2019
"Latvia",2623,2019
"Latvia",2244,2019
"Latvia",32,2019
"Latvia",23,2019
"Latvia",22,2019
"Latvia",16,2019
"Latvia",15,2019
"Latvia",10,2019
"Latvia",8,2019
"Latvia",7,2019
"Latvia",6,2019
"Latvia",5,2019
"Latvia",4,2019
"Latvia",3,2019
"Latvia",2,2019
"Latvia",1,2019
"Luxembourg",1,2019
"Malaysia",4880,2019
"Malaysia",4162,2019
"Malaysia",159,2019
"Malaysia",117,2019
"Malaysia",32,2019
"Malaysia",31,2019
"Malaysia",29,2019
"Malaysia",24,2019
"Malaysia",23,2019
"Malaysia",18,2019
"Malaysia",16,2019
"Malaysia",15,2019
"Malaysia",12,2019
"Malaysia",11,2019
"Malaysia",10,2019
"Malaysia",9,2019
"Malaysia",8,2019
"Malaysia",7,2019
"Malaysia",6,2019
"Malaysia",5,2019
"Malaysia",4,2019
"Malaysia",3,2019
"Malaysia",2,2019
"Malaysia",1,2019
"Maldives",26,2019
"Mexico",638,2019
"Mexico",106,2019
"Mexico",80,2019
"Mexico",35,2019
"Mexico",14,2019
"Mexico",13,2019
"Mexico",12,2019
"Mexico",11,2019
"Mexico",10,2019
"Mexico",9,2019
"Mexico",8,2019
"Mexico",7,2019
"Mexico",6,2019
"Mexico",5,2019
"Mexico",4,2019
"Mexico",3,2019
"Mexico",2,2019
"Mexico",1,2019
"Montenegro",4642,2019
"Montenegro",1443,2019
"Montenegro",1125,2019
"Montenegro",713,2019
"Montenegro",643,2019
"Montenegro",162,2019
"Montenegro",109,2019
"Montenegro",83,2019
"Montenegro",77,2019
"Montenegro",54,2019
"Montenegro",49,2019
"Montenegro",41,2019
"Montenegro",30,2019
"Montenegro",29,2019
"Montenegro",24,2019
"Montenegro",22,2019
"Montenegro",19,2019
"Nigeria",80570,2019
"Nigeria",29571,2019
"Nigeria",15221,2019
"Nigeria",6225,2019
"Nigeria",1884,2019
"Nigeria",1565,2019
"Nigeria",1438,2019
"Nigeria",1259,2019
"Nigeria",1182,2019
"Nigeria",1069,2019
"Nigeria",1051,2019
"Nigeria",975,2019
"Nigeria",904,2019
"Nigeria",790,2019
"Nigeria",747,2019
"Nigeria",746,2019
"Nigeria",720,2019
"Nigeria",635,2019
"Nigeria",604,2019
"Nigeria",574,2019
"Nigeria",523,2019
"Nigeria",458,2019
"Nigeria",432,2019
"Nigeria",402,2019
"Nigeria",393,2019
"Nigeria",361,2019
"Nigeria",324,2019
"Nigeria",321,2019
"Nigeria",295,2019
"Nigeria",288,2019
"Nigeria",279,2019
"Nigeria",254,2019
"Nigeria",245,2019
"Nigeria",234,2019
"Nigeria",171,2019
"Nigeria",164,2019
"Nigeria",159,2019
"Nigeria",156,2019
"Nigeria",146,2019
"Nigeria",141,2019
"Nigeria",139,2019
"Nigeria",134,2019
"Nigeria",133,2019
"Nigeria",130,2019
"Nigeria",126,2019
"Nigeria",125,2019
"Nigeria",120,2019
"Nigeria",103,2019
"Nigeria",101,2019
"Nigeria",98,2019
"Nigeria",95,2019
"Nigeria",92,2019
"Nigeria",88,2019
"Nigeria",87,2019
"Nigeria",78,2019
"Nigeria",76,2019
"Nigeria",74,2019
"Nigeria",73,2019
"Nigeria",72,2019
"Nigeria",70,2019
"Nigeria",69,2019
"Nigeria",68,2019
"Nigeria",67,2019
"Nigeria",66,2019
"Nigeria",65,2019
"Nigeria",59,2019
"Nigeria",58,2019
"Nigeria",57,2019
"Nigeria",56,2019
"Nigeria",54,2019
"Nigeria",53,2019
"Nigeria",51,2019
"Nigeria",48,2019
"Nigeria",45,2019
"Nigeria",44,2019
"Nigeria",43,2019
"Nigeria",42,2019
"Nigeria",40,2019
"Nigeria",39,2019
"Nigeria",38,2019
"Nigeria",37,2019
"Nigeria",36,2019
"Nigeria",35,2019
"Nigeria",34,2019
"Nigeria",32,2019
"Nigeria",31,2019
"Nigeria",30,2019
"Nigeria",27,2019
"Nigeria",26,2019
"Nigeria",25,2019
"Nigeria",24,2019
"Nigeria",23,2019
"Nigeria",22,2019
"Nigeria",21,2019
"Nigeria",20,2019
"Nigeria",19,2019
"Nigeria",18,2019
"Nigeria",16,2019
"Nigeria",14,2019
"Nigeria",13,2019
"Nigeria",12,2019
"Nigeria",11,2019
"Nigeria",10,2019
"Nigeria",9,2019
"Nigeria",8,2019
"Nigeria",7,2019
"Nigeria",6,2019
"Nigeria",5,2019
"Nigeria",4,2019
"Nigeria",3,2019
"Nigeria",2,2019
"Nigeria",1,2019
"Netherlands",5067,2019
"Netherlands",710,2019
"Netherlands",536,2019
"Netherlands",414,2019
"Netherlands",389,2019
"Netherlands",359,2019
"Netherlands",270,2019
"Netherlands",254,2019
"Netherlands",147,2019
"Netherlands",133,2019
"Netherlands",123,2019
"Netherlands",90,2019
"Netherlands",87,2019
"Netherlands",69,2019
"Netherlands",66,2019
"Netherlands",60,2019
"Netherlands",59,2019
"Netherlands",58,2019
"Netherlands",54,2019
"Netherlands",52,2019
"Netherlands",47,2019
"Netherlands",46,2019
"Netherlands",41,2019
"Netherlands",39,2019
"Netherlands",36,2019
"Netherlands",34,2019
"Netherlands",31,2019
"Netherlands",30,2019
"Netherlands",24,2019
"Netherlands",23,2019
"Netherlands",22,2019
"Netherlands",21,2019
"Netherlands",18,2019
"Netherlands",17,2019
"Netherlands",16,2019
"Netherlands",15,2019
"Netherlands",14,2019
"Netherlands",13,2019
"Netherlands",12,2019
"Netherlands",10,2019
"Netherlands",9,2019
"Netherlands",8,2019
"Netherlands",7,2019
"Netherlands",6,2019
"Netherlands",5,2019
"Netherlands",3,2019
"Netherlands",2,2019
"Netherlands",1,2019
"Philippines",37016,2019
"Philippines",17502,2019
"Philippines",2804,2019
"Philippines",1755,2019
"Philippines",1607,2019
"Philippines",1299,2019
"Philippines",672,2019
"Philippines",631,2019
"Philippines",603,2019
"Philippines",596,2019
"Philippines",517,2019
"Philippines",495,2019
"Philippines",488,2019
"Philippines",435,2019
"Philippines",422,2019
"Philippines",331,2019
"Philippines",258,2019
"Philippines",256,2019
"Philippines",253,2019
"Philippines",247,2019
"Philippines",240,2019
"Philippines",237,2019
"Philippines",163,2019
"Philippines",146,2019
"Philippines",145,2019
"Philippines",139,2019
"Philippines",136,2019
"Philippines",125,2019
"Philippines",123,2019
"Philippines",121,2019
"Philippines",90,2019
"Philippines",78,2019
"Philippines",62,2019
"Philippines",61,2019
"Philippines",60,2019
"Philippines",58,2019
"Philippines",56,2019
"Philippines",49,2019
"Philippines",47,2019
"Philippines",44,2019
"Philippines",43,2019
"Philippines",42,2019
"Philippines",41,2019
"Philippines",40,2019
"Philippines",38,2019
"Philippines",37,2019
"Philippines",34,2019
"Philippines",33,2019
"Philippines",32,2019
"Philippines",31,2019
"Philippines",30,2019
"Philippines",29,2019
"Philippines",28,2019
"Philippines",26,2019
"Philippines",25,2019
"Philippines",24,2019
"Philippines",22,2019
"Philippines",21,2019
"Philippines",20,2019
"Philippines",19,2019
"Philippines",18,2019
"Philippines",17,2019
"Philippines",15,2019
"Philippines",14,2019
"Philippines",13,2019
"Philippines",12,2019
"Philippines",11,2019
"Philippines",10,2019
"Philippines",9,2019
"Philippines",8,2019
"Philippines",7,2019
"Philippines",6,2019
"Philippines",5,2019
"Philippines",4,2019
"Philippines",3,2019
"Philippines",2,2019
"Philippines",1,2019
"Portugal",1004,2019
"Portugal",1000,2019
"Portugal",2,2019
"Rwanda",413,2019
"Rwanda",78,2019
"Rwanda",64,2019
"Rwanda",63,2019
"Rwanda",35,2019
"Rwanda",32,2019
"Rwanda",24,2019
"Rwanda",23,2019
"Rwanda",20,2019
"Rwanda",19,2019
"Rwanda",11,2019
"Rwanda",10,2019
"Rwanda",9,2019
"Rwanda",5,2019
"Rwanda",2,2019
"Slovenia",914,2019
"Slovenia",355,2019
"Slovenia",62,2019
"Slovenia",46,2019
"Slovenia",31,2019
"Slovenia",23,2019
"Slovenia",17,2019
"Slovenia",16,2019
"Slovenia",15,2019
"Slovenia",14,2019
"Slovenia",12,2019
"Slovenia",10,2019
"Slovenia",8,2019
"Slovenia",7,2019
"Slovenia",6,2019
"Slovenia",5,2019
"Slovenia",4,2019
"Slovenia",3,2019
"Slovenia",2,2019
"Slovenia",1,2019
"South Africa",905,2019
"South Africa",900,2019
"South Africa",5,2019
"Spain",1991,2019
"Spain",1713,2019
"Spain",52,2019
"Spain",21,2019
"Spain",14,2019
"Spain",11,2019
"Spain",9,2019
"Spain",8,2019
"Spain",7,2019
"Spain",6,2019
"Spain",5,2019
"Spain",4,2019
"Spain",3,2019
"Spain",2,2019
"Spain",1,2019
"Sri Lanka",3871,2019
"Sri Lanka",1717,2019
"Sri Lanka",232,2019
"Sri Lanka",203,2019
"Sri Lanka",197,2019
"Sri Lanka",144,2019
"Sri Lanka",124,2019
"Sri Lanka",89,2019
"Sri Lanka",68,2019
"Sri Lanka",67,2019
"Sri Lanka",64,2019
"Sri Lanka",54,2019
"Sri Lanka",52,2019
"Sri Lanka",49,2019
"Sri Lanka",43,2019
"Sri Lanka",35,2019
"Sri Lanka",30,2019
"Sri Lanka",26,2019
"Sri Lanka",24,2019
"Sri Lanka",22,2019
"Sri Lanka",21,2019
"Sri Lanka",20,2019
"Sri Lanka",17,2019
"Sri Lanka",16,2019
"Sri Lanka",15,2019
"Sri Lanka",14,2019
"Sri Lanka",13,2019
"Sri Lanka",12,2019
"Sri Lanka",11,2019
"Sri Lanka",9,2019
"Sri Lanka",8,2019
"Sri Lanka",7,2019
"Sri Lanka",6,2019
"Sri Lanka",5,2019
"Sri Lanka",4,2019
"Sri Lanka",3,2019
"Sri Lanka",2,2019
"Sri Lanka",1,2019
"Switzerland",7501,2019
"Switzerland",6492,2019
"Switzerland",302,2019
"Switzerland",72,2019
"Switzerland",63,2019
"Switzerland",44,2019
"Switzerland",38,2019
"Switzerland",30,2019
"Switzerland",25,2019
"Switzerland",16,2019
"Switzerland",15,2019
"Switzerland",14,2019
"Switzerland",13,2019
"Switzerland",10,2019
"Switzerland",9,2019
"Switzerland",8,2019
"Switzerland",7,2019
"Switzerland",6,2019
"Switzerland",5,2019
"Switzerland",4,2019
"Switzerland",3,2019
"Switzerland",2,2019
"Switzerland",1,2019
"Taiwan",120646,2019
"Taiwan",120632,2019
"Taiwan",14,2019
"Tanzania",1263,2019
"Tanzania",661,2019
"Tanzania",130,2019
"Tanzania",112,2019
"Tanzania",102,2019
"Tanzania",99,2019
"Tanzania",63,2019
"Tanzania",26,2019
"Tanzania",20,2019
"Tanzania",14,2019
"Tanzania",7,2019
"Tanzania",6,2019
"Tanzania",5,2019
"Tanzania",3,2019
"Thailand",369,2019
"Thailand",361,2019
"Thailand",4,2019
"Thailand",2,2019
"Thailand",1,2019
"Tunisia",40,2019
"Turkey",178,2019
"Turkey",174,2019
"Turkey",3,2019
"Turkey",1,2019
"Ukraine",4838,2019
"Ukraine",1618,2019
"Ukraine",170,2019
"Ukraine",123,2019
"Ukraine",111,2019
"Ukraine",88,2019
"Ukraine",82,2019
"Ukraine",76,2019
"Ukraine",68,2019
"Ukraine",67,2019
"Ukraine",47,2019
"Ukraine",45,2019
"Ukraine",44,2019
"Ukraine",40,2019
"Ukraine",38,2019
"Ukraine",35,2019
"Ukraine",34,2019
"Ukraine",30,2019
"Ukraine",29,2019
"Ukraine",28,2019
"Ukraine",26,2019
"Ukraine",24,2019
"Ukraine",23,2019
"Ukraine",22,2019
"Ukraine",21,2019
"Ukraine",20,2019
"Ukraine",19,2019
"Ukraine",18,2019
"Ukraine",17,2019
"Ukraine",16,2019
"Ukraine",15,2019
"Ukraine",14,2019
"Ukraine",13,2019
"Ukraine",12,2019
"Ukraine",11,2019
"Ukraine",10,2019
"Ukraine",9,2019
"Ukraine",8,2019
"Ukraine",7,2019
"Ukraine",6,2019
"Ukraine",5,2019
"Ukraine",4,2019
"Ukraine",3,2019
"Ukraine",2,2019
"Ukraine",1,2019
"United Arab Emirates",12,2019
"United Arab Emirates",11,2019
"United Arab Emirates",1,2019
"United Kingdom",3,2019
"United States",4314,2019
"United States",3349,2019
"United States",104,2019
"United States",62,2019
"United States",50,2019
"United States",47,2019
"United States",36,2019
"United States",33,2019
"United States",29,2019
"United States",24,2019
"United States",20,2019
"United States",17,2019
"United States",16,2019
"United States",15,2019
"United States",13,2019
"United States",12,2019
"United States",10,2019
"United States",9,2019
"United States",8,2019
"United States",6,2019
"United States",5,2019
"United States",4,2019
"United States",3,2019
"United States",2,2019
"United States",1,2019
"Vietnam",10887,2019
"Vietnam",3661,2019
"Vietnam",1288,2019
"Vietnam",690,2019
"Vietnam",646,2019
"Vietnam",388,2019
"Vietnam",262,2019
"Vietnam",226,2019
"Vietnam",192,2019
"Vietnam",130,2019
"Vietnam",119,2019
"Vietnam",113,2019
"Vietnam",111,2019
"Vietnam",91,2019
"Vietnam",84,2019
"Vietnam",63,2019
"Vietnam",62,2019
"Vietnam",58,2019
"Vietnam",56,2019
"Vietnam",55,2019
"Vietnam",52,2019
"Vietnam",40,2019
"Vietnam",38,2019
"Vietnam",35,2019
"Vietnam",32,2019
"Vietnam",30,2019
"Vietnam",29,2019
"Vietnam",28,2019
"Vietnam",27,2019
"Vietnam",26,2019
"Vietnam",25,2019
"Vietnam",24,2019
"Vietnam",23,2019
"Vietnam",22,2019
"Vietnam",21,2019
"Vietnam",20,2019
"Vietnam",19,2019
"Vietnam",18,2019
"Vietnam",17,2019
"Vietnam",16,2019
"Vietnam",15,2019
"Vietnam",14,2019
"Vietnam",13,2019
"Vietnam",12,2019
"Vietnam",11,2019
"Vietnam",10,2019
"Vietnam",9,2019
"Vietnam",8,2019
"Vietnam",7,2019
"Vietnam",6,2019
"Vietnam",5,2019
"Vietnam",4,2019
"Vietnam",3,2019
"Vietnam",2,2019
"Vietnam",1,2019
"Argentina",109,2020
"Argentina",1,2020
"Argentina",4,2020
"Argentina",2,2020
"Argentina",27,2020
"Argentina",3,2020
"Argentina",11,2020
"Argentina",19,2020
"Argentina",5,2020
"Argentina",6,2020
"Argentina",13,2020
"Argentina",25,2020
"Argentina",9,2020
"Argentina",12,2020
"Argentina",15,2020
"Argentina",18,2020
"Argentina",7,2020
"Argentina",10,2020
"Argentina",44,2020
"Argentina",388,2020
"Armenia",2,2020
"Armenia",6,2020
"Australia",986,2020
"Australia",1,2020
"Australia",2,2020
"Australia",7,2020
"Australia",3,2020
"Australia",5,2020
"Australia",4,2020
"Australia",77,2020
"Australia",25,2020
"Australia",93,2020
"Australia",37,2020
"Australia",35,2020
"Australia",88,2020
"Australia",9,2020
"Australia",40,2020
"Australia",122,2020
"Australia",18,2020
"Bangladesh",2,2020
"Bangladesh",5,2020
"Bangladesh",8,2020
