"Country","2019","2020","Total_All_Years"
"Argentina",5079,728,5807
"Armenia",0,8,8
"Australia",3,1552,1555
"Bangladesh",16,1581,1597
"Benin",4988,342,5330
"Bhutan",3500,0,3500
"Brazil",9227,2213,11440
"Bulgaria",8,459,467
"Burkina Faso",11577,8771,20348
"Cameroon",15887,0,15887
"Canada",1,1805,1806
"Chile",0,1669,1669
"China",5827,1902,7729
"Colombia",856,6186,7042
"Cyprus",24,0,24
"C̫te d'Ivoire",53,0,53
"Denmark",0,4479,4479
"Ecuador",25346,268,25614
"El Salvador",0,920,920
"France",15,2930,2945
"Germany",562,5206,5768
"Ghana",578,8732,9310
"Greece",0,36,36
"Honduras",0,1,1
"India",3902,15753,19655
"Indonesia",24803,9370,34173
"Ireland",1,248,249
"Italy",1378,297,1675
"Japan",145,264,409
"Kenya",18681,8745,27426
"Korea",0,1497,1497
"Kuwait",0,912,912
"Latvia",5021,429,5450
"Lithuania",0,930,930
"Luxembourg",1,0,1
"Malaysia",9584,5968,15552
"Maldives",26,0,26
"Mexico",964,2355,3319
"Montenegro",9265,1053,10318
"Netherlands",9547,569,10116
"Nigeria",157133,61123,218256
"Peru",0,615,615
"Philippines",71137,54530,125667
"Portugal",2006,8357,10363
"Romania",0,89,89
"Rwanda",808,0,808
"Serbia",0,490,490
"Singapore",0,92,92
"Slovenia",1551,527,2078
"South Africa",1810,857,2667
"Spain",3847,987,4834
"Sri Lanka",7295,22,7317
"Switzerland",14680,51908,66588
"Taiwan",241292,0,241292
"Tanzania",2511,7316,9827
"Thailand",737,2582,3319
"Togo",0,11994,11994
"Tunisia",40,2319,2359
"Turkey",356,0,356
"Ukraine",7937,6943,14880
"United Arab Emirates",24,1,25
"United Kingdom",3,4477,4480
"United States",8189,12969,21158
"Vietnam",19844,8503,28347
